participant_id,frame,question,main,follow_up,choice,evaluation
240,loss,Unemployment,True,,0,85
240,loss,Painting,True,,1,40
240,loss,Virus,True,,1,60
243,loss,Disease,True,,1,50
243,loss,Unemployment,True,,0,90
243,loss,Painting,True,,1,60
243,loss,Virus,True,,2,80
243,loss,Virus,,True,1,30
247,loss,Disease,True,,1,40
247,loss,Unemployment,True,,0,70
247,loss,Painting,True,,0,60
247,loss,Virus,True,,2,50
247,loss,Virus,,True,0,40
249,gain,Disease,True,,1,10
249,gain,Unemployment,True,,1,90
249,gain,Painting,True,,0,60
249,gain,Virus,True,,0,20
254,loss,Disease,True,,1,60
254,loss,Unemployment,True,,0,70
254,loss,Painting,True,,2,70
254,loss,Painting,,True,1,60
254,loss,Virus,True,,1,65
255,loss,Disease,True,,2,77
255,loss,Disease,,True,1,50
255,loss,Unemployment,True,,0,90
255,loss,Painting,True,,1,50
255,loss,Virus,True,,0,69
258,loss,Disease,True,,2,50
258,loss,Disease,,True,1,30
258,loss,Unemployment,True,,0,89
258,loss,Painting,True,,2,58
258,loss,Painting,,True,0,58
258,loss,Virus,True,,2,55
258,loss,Virus,,True,1,62
260,loss,Disease,True,,2,82
260,loss,Disease,,True,0,100
260,loss,Unemployment,True,,0,74
260,loss,Painting,True,,2,60
260,loss,Painting,,True,0,100
260,loss,Virus,True,,0,68
263,loss,Disease,True,,1,90
263,loss,Unemployment,True,,0,100
263,loss,Painting,True,,1,70
263,loss,Virus,True,,1,60
264,loss,Disease,True,,0,81
264,loss,Unemployment,True,,0,91
264,loss,Painting,True,,0,61
264,loss,Virus,True,,0,29
270,loss,Disease,True,,1,100
270,loss,Unemployment,True,,0,80
270,loss,Painting,True,,1,100
270,loss,Virus,True,,1,70
271,loss,Disease,True,,1,28
271,loss,Unemployment,True,,0,67
271,loss,Painting,True,,1,89
271,loss,Virus,True,,0,30
272,gain,Disease,True,,2,89
272,gain,Disease,,True,1,100
272,gain,Unemployment,True,,1,91
272,gain,Painting,True,,0,100
272,gain,Virus,True,,2,100
272,gain,Virus,,True,0,91
273,loss,Disease,True,,0,80
273,loss,Unemployment,True,,0,100
273,loss,Painting,True,,0,90
273,loss,Virus,True,,0,90
276,loss,Disease,True,,1,70
276,loss,Unemployment,True,,0,97
276,loss,Painting,True,,0,18
276,loss,Virus,True,,0,59
279,loss,Disease,True,,2,51
279,loss,Disease,,True,1,51
279,loss,Unemployment,True,,0,60
279,loss,Painting,True,,0,76
279,loss,Virus,True,,1,63
283,loss,Disease,True,,2,22
283,loss,Disease,,True,1,27
283,loss,Unemployment,True,,0,62
283,loss,Painting,True,,0,34
283,loss,Virus,True,,2,24
283,loss,Virus,,True,0,12
285,loss,Disease,True,,1,30
285,loss,Unemployment,True,,0,53
285,loss,Painting,True,,1,54
285,loss,Virus,True,,1,41
287,gain,Disease,True,,0,67
287,gain,Unemployment,True,,1,75
287,gain,Painting,True,,0,80
287,gain,Virus,True,,1,88
288,gain,Disease,True,,2,100
288,gain,Disease,,True,0,78
288,gain,Unemployment,True,,1,78
288,gain,Painting,True,,0,100
288,gain,Virus,True,,0,100
289,loss,Disease,True,,1,100
289,loss,Unemployment,True,,0,100
289,loss,Painting,True,,1,100
289,loss,Virus,True,,1,100
293,gain,Disease,True,,1,30
293,gain,Unemployment,True,,1,100
293,gain,Painting,True,,0,60
293,gain,Virus,True,,0,30
296,gain,Disease,True,,1,70
296,gain,Unemployment,True,,1,80
296,gain,Painting,True,,0,90
296,gain,Virus,True,,2,100
296,gain,Virus,,True,1,50
297,loss,Disease,True,,0,81
297,loss,Unemployment,True,,0,89
297,loss,Painting,True,,0,93
297,loss,Virus,True,,0,80
299,gain,Disease,True,,0,60
299,gain,Unemployment,True,,1,70
299,gain,Painting,True,,0,80
299,gain,Virus,True,,0,70
305,loss,Disease,True,,0,80
305,loss,Unemployment,True,,0,81
305,loss,Painting,True,,0,80
305,loss,Virus,True,,0,81
307,loss,Disease,True,,2,50
